Design,N° de trojans gabarito,N° trojans por hiperaresta,N° de gates suspeitos,N° acertos,N° erros
0,71,9,31,6,25
1,24,9,594,0,594
2,25,9,29,2,27
3,128,9,6,4,2
4,31,9,4,2,2
5,41,9,20,5,15
6,42,9,10,8,2
7,85,9,10,1,9
8,44,9,5,4,1
9,2002,9,497,476,21
10,25,9,27,2,25
11,42,9,15,5,10
12,52,9,14,9,5
13,71,9,3,0,3
14,5125,9,214,210,4
15,128,9,8,5,3
16,2003,9,383,377,6
17,22,9,2,1,1
18,65,9,3,3,0
19,85,9,17,9,8
