Design,N° de trojans gabarito,N° trojans por hiperaresta,N° de gates suspeitos,N° acertos,N° erros
0,71,8,54,8,46
1,24,8,717,0,717
2,25,8,31,2,29
3,128,8,18,15,3
4,31,8,10,5,5
5,41,8,33,11,22
6,42,8,21,18,3
7,85,8,24,6,18
8,44,8,13,11,2
9,2002,8,801,762,39
10,25,8,36,2,34
11,42,8,24,10,14
12,52,8,18,9,9
13,71,8,14,3,11
14,5125,8,406,395,11
15,128,8,18,9,9
16,2003,8,731,722,9
17,22,8,6,1,5
18,65,8,3,3,0
19,85,8,28,18,10
